Company Name,Esablished,Total Projects,About Company

Sumadhura Infracon Pvt. Ltd.,1998,42,"Sumadhura Infracon Pvt Ltd is a name that resonates among the prominent residential and commercial developers in Bangalore, India. Their ability to deliver on-time luxurious and affordable housing projects in Bangalore has ensured a continual interest from their customers. Their expertise in acquisition of land, appointment of architects and designers, construction, sales to after sales service, has helped them to be counted among Bangalore's forerunners in Real Estate development. The company's vision to continuously expand the role of a leading developer in the construction industry by building lasting relationships with our clientele and all concerned on the foundations of performance, trust and confidence. And its mission is to develop quality properties based on realistic values for its owners, investment affiliates, as well as its joint venture partners. It is an enterprise that maintains the highest level of personnel support and skilled professionals for an enjoyable environment.",
T.G. Developers,2012,9,"T.G. Developers has earned good reputation and trust through its core values since its inception over half a decade ago. The team of professionals ensure that every project goes through phases of rigorous planning and strategies, efficient construction methods without compromising on quality. Driven by strong leadership and experienced team they have laid the foundation of the company to the next level in the Real Estate industry. The team ensures that every concept matches the wave length of new age construction to meet customer's satisfaction. They believe in implementing innovative ideas that are completely blend with high end features and current trends to deliver beautiful residential spaces. All projects are ready to serve clients with world class facilities with some unique features that will fulfill their dream of owning a beautiful home. ",
Gopalan Enterprises,1984,34,"Gopalan Enterprises, one of the founding fathers of the real estate sector in Bangalore, is an established name in the industry for more than three decades.	 	 
Since its inception in 1984, Gopalan Enterprises has specialized in providing quality homes that perfectly balance the ever-morphing aesthetic aspirations and the functional needs. In the last three decades, this Rs 1500 crore company has diversified its portfolio to gain expertise in urban development through design, construction, maintenance and marketing of Residential complexes, Tech Parks, SEZs, Malls, Schools, Colleges, Organic Farming, Skill building and now Aerospace.	 	 
Mr. C. Gopalan, the Founder, and Director of Gopalan Enterprises is an accomplished architect from the reputed JJ School of Arts, Mumbai. He is accompanied and assisted by his sons Mr. C Pramod and Mr. Prabhakar, both also highly trained architects. Mr. Gopalan’s quest is to provide his home city, Bangalore, with construction that is made timeless by its designs, amenities, and quality.	 	 
Gopalan Enterprises had its beginnings in the residential sector, with an aim to create spaces that enable the customers the comfort and the convenience that they seek. The business is built on a foundation of integrity that inspires trust. With a keen sense of innovation in all that we do, Gopalan Enterprises has delivered projects on time. This has, thereby, ensuring a positive, deep relationship with the customer that lasts beyond a single purchase.	",
Celebrity Structures India Pvt Ltd	,2001,5,"Celebrity Structures India Pvt Ltd is a group managed in the able guidance of a team that is passionate and committed to deliver quality homes to customers while adding that extra dimension of lifestyle and consistent investment returns. With several completed and ongoing projects in Bangalore and Hyderabad, Celebrity Structures India Pvt Ltd., is fast emerging as one of the premium developers in South Bangalore. Their engineers and supervisors are trained to give clients the very best.
With over a decade of experience in property development with fourteen residential projects completed so far in Hyderabad & Bangalore and many more coming up in near future; this group is on its way to create a new paradigm in the real estate sector. Their strength is their team work and dedication. They build lasting relationships, not just homes. Their buildings are testaments to meeting their needs, fulfilling requirements and offering the best in construction.",
Bren Corporation,2001,14,"Bren Corporation takes to you supreme luxury mutual with a lifestyle that holds recent trends while providing an excellence experience. There residential projects are

extended across the technological and commercial centers of Bangalore. They build with the

finest materials. Their world class amenities combined with the best of stylish design make them

one of the finest builders today. Moreover, their customer service officials facilitate a hassle-free

procedure that confirms you make the best choice and understand your vision of having a

home. With an experience that expanses back four decades, the Bren Corporation has been developing

infrastructure that energies development and financial growth. Whether it's a home, a highway or high rise office space, the choice to capitalize requires unbiased assessments of plan,

construction quality, finish, and timely delivery.",
GP Homes,2010,25,"GP Homes has become a leading player of real estate in such a short span. It has become successful in carving its name in the construction industry. It is a company that exhibits excellence in everything it builds. GP Homes have marked a niche for themselves in the market, with their exceptional edifices, built entirely to customers satisfaction. They believe in maintaining clarity in communication, providing clear title and has been associated with transparent transactions. The company have focused on creating homes that foster a comfortable and wonderful living environment. They are young and dynamic builders. Their experienced and enthusiastic team of professionals specializes in identifying the exact need of the society and creating the most desired products.
",
KVT Homes and Estate PVt Ltd,1999,4,"Kvt Is A Trusted Realtor Company. We Are A Name Synonymous Within Chennai City And Pioneers In Land Development And Promotion, Since 1978. Our Company Is Pillared By Over Four Decades Of Experience In Unique Approach Of Planning And Designing. We Invest Heavily To Ensure That Our Development Surpass The Industry Benchmark. Our Focus Has Been On Environment Friendly Concepts On Transforming The Land Into Well Planned Urban Communities. Till Date, We Have Completed 31+ Land Mark Projects. Approximately 400 Acres Of Land Has Been Successfully Developed And Promoted Within Chennai City Limit Only. Today Kvt Group With A Huge Land Bank That Takes Pride Being A Premier Real Estate Developer, It Is Only The Persistent Confidence Of The Customers, Friends And Well-wishers That Has Made Kvt Group Flourish In The Business At All Times And That Has Successfully Turned The Dreams Of Investors And Customers Into Reality. Thanks To The Valued Customers, Friends, Well-wishers And Staff Who Have Constantly Reposed Their Confidence In Kvt Group.",
Ruby Builders And Promoters,1997,23,"Ruby Builders is known as one of the leading real estate and construction companies in Chennai. Conformed as an ISO 9001-2008 certified company, the firm has achieved business excellence by showing consistency in the standard of construction services. Their portfolio comprises of building artistic residences, commercial hubs and apartments. The firm wishes to build the strong relationship with their clients by leveraging upon latest technology, cost effective strategies and modern machinery. Their passion for hard work and unbeatable services has led the Ruby Builders through series of success. As the industry transforms into an economic stimulus triggering huge employment opportunities, the Ruby Builders refrain is capacity building and sustainable competitive advantage generated by its high-valued, unique and non-substitutable work force with high performance work systems.",
BSCPL Infrastructure Ltd,1982,20,"BSCPL Infrastructure Ltd is an infrastructure development company who are pioneers in

execution of road projects, irrigation projects and recently diversified into Real estate and

Hydro Power plants. They have executed several prestigious projects across India and abroad

including Afghanistan & Bangladesh. The experienced and visionary team of promoters, high

degree of mechanization with skills in the state of the art technology, professionally qualified

and experienced project managers and strong and stable workforce who can execute projects

under adverse conditions, the ability to forge partnerships wisely and the practice of

executing projects on their own has enabled BSCPL to emerge as a strong partner in the

process of building the lifelines of nations. BSCPL Infrastructure Ltd aim at creating a

community perfect for your needs and wants—informed, effortless, and enjoyable. They have

earned a reputation for consumer trust through their passionate commitment to deliver the

best quality residential spaces at a fair price.",
Golden Homes,1986,150,"GOLDEN HOMES PRIVATE LIMITED was established in the year 1986. Backed by a dedicated team of professionals, strong capital base and extensive experience, GOLDEN HOMES primarily focuses on the residential sector.

 

GOLDEN HOMES PRIVATE LIMITED is widely recognized for its pioneering role as a residential developer in Chennai having set new standards in the housing and urban development, promoting residential apartments  in Chennai and providing world-class amenities and infrastructure in its projects.

 

GOLDEN HOMES firmly believes that the best of today can be beaten and improved upon. Constant effort to surpass the past success and quality standards, willingness to continuously learn and improve, is the spirit behind the conception, design and creation of our projects.

 For 33 years, GOLDEN HOMES has been delivering beautiful homes following very high professional standards. Every GOLDEN HOMES project is executed with the same passion and the same commitment that has been the hallmark of the company. GOLDEN HOMES has delivered over 150 projects to over 3500 satisfied families. GOLDEN HOMES presently has close to 5 million square feet of residential projects at various stages of planning and execution. ",
