Company Name,pricing,Emi,Project Name,Location,Config,Possession Status
Sumadhura Infracon Pvt. Ltd.,1.07 Cr - 1.45 Cr,EMI starts at 84.7 K,Sumadhura Soham Phase 2,"Whitefield, Bangalore","2.5, 3, 3.5 BHK Apartments","Sep, 2019"
Sumadhura Infracon Pvt. Ltd.,80.87 L - 1.2 Cr,EMI starts at 70.2 K,Sumadhura Nandanam,"Hoodi, Whitefield, Bengaluru","2, 2.5, 3 BHK Apartments","Dec, 2021"
Sumadhura Infracon Pvt. Ltd.,62.58 L - 85.2 L,EMI starts at 49.8 K,Sumadhura Eden Garden,"Whitefield, Bangalore","2, 2.5, 3 BHK Apartments","Dec, 2021"
T.G. Developers,75 L,EMI starts at 46.7 K,TG Arte,"Kudlu Gate, Bangalore",3 BHK Apartment,"Apr, 2021"
T.G. Developers,52.96 L - 73.49 L,EMI starts at 45.8 K,T G Ascent,"Hosa Road, Bangalore","2, 3 BHK Apartments","Jun, 2020"
Gopalan Enterprises,50.1 L - 67.41 L,EMI starts at 42 K,Gopalan Olympia,"Off Mysore Road, Bangalore","2, 3 BHK Apartments",Ready to Move
Gopalan Enterprises,73.79 L - 92.83 L,EMI starts at 54.2 K,Gopalan Sanskriti,"Mysore Road, Bangalore","2, 3 BHK Apartments",Ready to Move
Gopalan Enterprises,79.44 L - 98.3 L,EMI starts at 57.4 K,Gopalan Lake Front,"Electronic City, Bangalore","2, 3 BHK Apartments","Jun, 2020"
Gopalan Enterprises,99.03 L,EMI starts at 57.8 K,Gopalan Atlantis,"Whitefield, Bangalore",3 BHK Apartment,Ready to Move
Celebrity Structures India Pvt Ltd	,29.7 L - 66 L,EMI starts at 41.1 K,Celebrity Pride Access,"Sarjapur-Attibele Road, Bangalore",Residential Plots,Ready to Move
Celebrity Structures India Pvt Ltd	,29.03 L - 39.33 L,EMI starts at 24.5 K,Celebrity Pride Avenue,"Sarjapur-Attibele Road, Bangalore","2, 3 BHK Apartments","Mar, 2021"
