State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
guwahati,36.99 L - 59.34 L,EMI starts at 37 K,Shine Heaven,"Batahguli, Guwahati","2, 3 BHK Apartments",Ready to Move
guwahati,Price on Request,Subham Greens,"AHOM GAON, Guwahati",2 BHK Apartment,Ready to Move
guwahati,33.18 L - 49.84 L,EMI starts at 31 K,RDB Achyut Nest,"Bormotoria, Guwahati","2, 3 BHK Apartments",Ready to Move
guwahati,39.53 L - 74.37 L,EMI starts at 46.3 K,Ideal Hill View,"Narengi Tinali, Guwahati","2, 3, 4 BHK Apartments",Ready to Move
guwahati,28.41 L - 52.56 L,EMI starts at 32.7 K,SRKM Babylon,"Lokhra, Guwahati","2, 3 BHK Apartments",Ready to Move
guwahati,17.43 L - 47.08 L,EMI starts at 29.3 K,Agrim Vista,"Jalukbari, Guwahati","1, 2, 3 BHK Apartments",Ready to Move
guwahati,59.04 L - 85.92 L,EMI starts at 50.2 K,Eureka Heights,"Uzan Bazar, Guwahati","3, 3.5, 4.5 BHK Apartments",Ready to Move
guwahati,Price on Request,Subham Heights,"Kahilipara, Guwahati",3 BHK Apartment,Ready to Move
guwahati,Price on Request,Sri Krishna Elite,"Kahilipara, Guwahati",3 BHK Apartment,Ready to Move
guwahati,28.48 L - 39.32 L,EMI starts at 24.5 K,Uttarayan Heights,"BIKASH NAGAR, Guwahati","2, 3 BHK Apartments",Ready to Move
guwahati,32.46 L - 57.24 L,EMI starts at 35.6 K,Uttarayan Greens,"BIKASH NAGAR, Guwahati","2, 3, 4 BHK Apartments",Ready to Move
guwahati,36.96 L - 51.84 L,EMI starts at 32.3 K,Uttarayan Residency,"Kahilipara, Guwahati","2, 3 BHK Apartments",Ready to Move
guwahati,58.4 L - 77.67 L,EMI starts at 45.4 K,Creative Creative Residency,"Rehabari, Guwahati","2.5, 3.5 BHK Apartments",Ready to Move
guwahati,1.04 Cr - 1.43 Cr,EMI starts at 83.3 K,RDB Astha Prestige,"Fatasil Ambari, Guwahati","3, 4 BHK Apartments","Jun, 2018"
guwahati,18.55 L - 38.9 L,EMI starts at 24.2 K,Reeg Premises,"Kahilipara, Guwahati","1, 2, 3 BHK Apartments",Ready to Move
guwahati,72.77 L - 1.24 Cr,EMI starts at 72.2 K,Buildworth Park Panorama,"Dispur, Guwahati","3, 4 BHK Apartments",Ready to Move
guwahati,1.04 Cr - 1.43 Cr,EMI starts at 83.3 K,RDB Astha Prestige,"Fatasil Ambari, Guwahati","3, 4 BHK Apartments","Jun, 2018"
