Project Name,Company Name,Project Location,Min. Price per sq.ft.,Configurations,Possession Date,Super Builtup Area
Risara Elegante, Risara Properties ,"Survey No.71/8 Of Village Taleigao, Caranzalem, Goa","8,148 per sqft.","2, 3, 4, 5 BHK Apartments","Aug, 2019",1313.21 sqft. - 5403.53 sqft.
Micon Coastal Paradise, Micon Realtors ,"Off Colva Road, Near Restaurant Mailibu, Benaulim","6,132 per sqft.","1, 2 BHK Apartments", Ready to Move ,753.00 sqft. - 1109.00 sqft.
Provident Adora De Goa 6, Provident Housing Limited ,"198/1, Vidhyanagar Colony, Zuari Nagar Chicalim,Dabolim, Chicalim",Price on request,"Feb, 2023",810.00 sqft. - 1500.00 sqft.
Salarpuria Sattva Waters Edge Villas, Salarpuria Sattva ,"Near MES College, Sancoale, Goa, Goa","7,800 per sqft.",4 BHK Villa, Ready to Move ,5590.00 sqft.
Swaminarayan Green City, SATYA SANKALP BUILDCON LLP ,"Near Thakordwar Farm, Pasodara Patiya, Khadsad, Surat","2,800 per sqft.",2 BHK Apartment,"Jul, 2020",1005.00 sqft. - 1205.00 sqft.
Nishal Star World, Nishal Group ,"Bamroli Road, Near Shree Laxmi Automobiles, Surat","3,500 per sqft.","2, 3 BHK Apartments", Ready to Move ,1268.00 sqft. - 1754.00 sqft.
Megh Mayur Swagat Complex, Megh Mayur Builders & Organisers ,"Chunni Wala Bhai Shah Road, Near  Shree Mahalaxmi Mata Mandir, Surat","3,300 per sqft.",2 BHK Apartment, Ready to Move ,1265.00 sqft.
Nishal Harshraj Heaven, Nishal Group ,"NH 8 Road, Near Joy & Joy Chirag Farm , Pardi","3,500 per sqft.","2, 3 BHK Bungalows", Ready to Move ,1268.00 sqft. - 1754.00 sqft.
Bridge County Apartments, Pragnya Riverbridge Developers Limited ,"Opposite GIET College, Chakradwrabhandam, Rajangaram Mandal, Diwwancheruvu, Rajahmundry, Rajahmundry","3,250 per sqft.","1, 2, 3 BHK Apartments", Ready to Move ,610.00 sqft. - 1500.00 sqft.
GEV Grand, GEV ,"Opposite Gas Authority Of India Limited, AV Appa Rao Road, Venkateswara Nagar",Price on request, Ready to Move ,1360.00 sqft. - 2585.00 sqft.
